date,open,high,low,close,volume
4/6/2022,305.190002,307,296.709991,299.5,40110400
4/7/2022,296.660004,303.649994,296.350006,301.369995,31411200
4/8/2022,300.440002,301.119995,296.279999,296.970001,24361900
4/11/2022,291.790009,292.609985,285,285.26001,34569300
4/12/2022,289.23999,290.73999,280.48999,282.059998,30966700
4/13/2022,282.730011,288.579987,281.299988,287.619995,21907200
4/14/2022,288.089996,288.309998,279.320007,279.829987,28221600
4/18/2022,278.910004,282.459991,278.339996,280.519989,20778000
4/19/2022,279.380005,286.170013,278.410004,285.299988,22297700
4/20/2022,289.399994,289.700012,285.369995,286.359985,22906700
4/21/2022,288.579987,293.299988,280.059998,280.809998,29454600
4/22/2022,281.679993,283.200012,273.380005,274.029999,29405800
4/25/2022,273.290009,281.109985,270.769989,280.720001,35678900
4/26/2022,277.5,278.359985,270,270.220001,46518400
4/27/2022,282.100006,290.970001,279.160004,283.220001,63477700
4/28/2022,285.190002,290.980011,281.459991,289.630005,33646600
4/29/2022,288.609985,289.880005,276.5,277.519989,37073900
5/2/2022,277.709991,284.940002,276.220001,284.470001,35151100
5/3/2022,283.959991,284.130005,280.149994,281.779999,25978600
5/4/2022,282.589996,290.880005,276.730011,289.980011,33599300
5/5/2022,285.540009,286.350006,274.339996,277.350006,43260400
5/6/2022,274.809998,279.25,271.269989,274.730011,37780300
5/9/2022,270.059998,272.359985,263.320007,264.579987,47726000
5/10/2022,271.690002,273.75,265.070007,269.5,39336400
5/11/2022,265.679993,271.359985,259.299988,260.549988,48975900
5/12/2022,257.690002,259.880005,250.020004,255.350006,51033800
5/13/2022,257.350006,263.040009,255.350006,261.119995,34925100
5/16/2022,259.959991,265.820007,255.779999,261.5,32550900
5/17/2022,266.109985,268.329987,262.459991,266.820007,28828800
5/18/2022,263,263.600006,252.770004,254.080002,31356000
5/19/2022,253.899994,257.670013,251.880005,253.139999,32692300
5/20/2022,257.23999,258.540009,246.440002,252.559998,39199300
5/23/2022,255.490005,261.5,253.429993,260.649994,33175400
